Date,Temp_Anomaly,NINO3.4,NOI,ONI,BEST,PDO,IOD,AMM,TNA,TSA,WHWP,AO,NAO,QBO,EA,NP,PMM
1950-01-01,-0.721,-1.99,2.644,-1.53,-0.67,-1.655,-0.044,0.53,-0.14,0.08,-0.17,-0.06,0.55,-8.99,2.29,1014.873,0.18
1950-02-01,-0.82,-1.69,2.077,-1.34,-1.52,-2.131,-0.554,-1.07,-0.36,0.15,-0.3,0.627,3.31,-11.37,-0.57,1010.398,0.18
1950-03-01,-0.443,-1.42,3.091,-1.16,-1.38,-1.761,-0.692,-1.26,-0.37,0.12,-0.96,-0.008,0.82,-10.63,-1.8,1008.13,-0.81
1950-04-01,-0.684,-1.54,1.923,-1.18,-1.31,-1.663,-0.475,0.72,-0.11,-0.17,-1.93,0.555,1.61,-8.19,-2.5,1015.494,-0.23
1950-05-01,-0.212,-1.75,2.211,-1.07,-1.26,-2.586,-0.309,1.05,-0.25,-0.34,-2.27,0.072,-1.73,-6.09,1.41,1015.471,-0.22
1950-06-01,-0.38,-1.27,1.014,-0.85,-1.79,-1.967,-0.494,0.28,-0.13,-0.23,-2.23,0.539,1.26,-6.61,1.27,1015.51,0.28
1950-07-01,-0.422,-1.01,-0.336,-0.54,-1.72,-2.803,-0.348,0.21,-0.18,-0.16,-2.12,-0.802,-0.87,-7.11,3.01,1016.233,0.45
1950-08-01,-0.543,-0.97,-0.236,-0.42,-0.96,-1.934,-0.22,1.21,-0.16,-0.34,-2.62,-0.851,-0.28,-6.51,0.52,1012.764,-0.58
1950-09-01,-0.323,-0.98,0.17,-0.39,-0.92,-1.651,-0.631,1.26,-0.06,-0.51,-0.52,0.358,1.51,-3.82,-0.32,1012.617,-0.31
1950-10-01,-0.38,-1.03,-2.54,-0.44,-1.21,-1.5,-0.59,1.27,-0.18,-0.54,-2.14,-0.379,0.78,-2.39,0.04,1010.765,-0.59
1950-11-01,-0.695,-1.23,0.483,-0.6,-1.09,-1.669,-0.227,1.87,-0.09,-0.46,-0.82,-0.515,0.78,-2.18,-1.72,1016.373,-0.45
1950-12-01,-0.624,-1.31,-1.545,-0.8,-1.42,-0.905,-0.027,3.03,0.18,-0.92,-0.32,-1.928,-1.88,-3.31,-2.31,1007.969,0.98
1951-01-01,-1.052,-1.3,2.702,-0.82,-1.03,-1.091,0.256,2.14,0.06,-0.98,-0.17,-0.085,0.82,-6.01,-0.74,1008.319,-1.11
1951-02-01,-1.34,-1.04,1.878,-0.54,-0.62,-1.494,0.211,0.94,-0.17,-0.7,-0.3,-0.4,0.93,-5.32,-1.66,1011.156,-1.69
1951-03-01,-0.566,-0.38,3.103,-0.17,-0.21,-1.561,0.259,2.29,-0.07,-0.87,-0.93,-1.934,-2.01,-1.93,0.11,1015.687,-1.52
1951-04-01,-0.569,-0.23,-3.88,0.18,0.33,-1.075,-0.513,3.63,0.17,-0.51,-0.7,-0.776,-0.45,0.91,-2.31,1011.914,-0.74
1951-05-01,-0.147,-0.01,-2.213,0.36,0.69,-0.836,-0.138,3.7,0.14,-0.37,-0.93,-0.863,-2.11,2.26,0.93,1012.735,0.16
1951-06-01,-0.373,0.0,-0.903,0.58,0.16,-0.967,-0.19,3.85,0.17,-0.26,-0.56,-0.918,-1.16,-0.3,1.91,1014.202,-0.29
1951-07-01,-0.426,0.3,-0.336,0.7,1.3,0.297,-0.22,2.87,0.41,-0.11,-0.07,0.09,1.1,-2.7,-0.86,1017.913,-2.28
1951-08-01,-0.166,0.17,-0.872,0.89,0.99,-0.865,0.124,0.98,0.2,0.05,2.23,-0.377,0.85,-5.31,-3.26,1016.231,-2.63
1951-09-01,0.071,0.51,-1.36,0.99,1.05,-0.023,-0.005,-0.04,0.15,0.05,1.5,-0.818,-0.22,-5.92,-0.26,1012.423,-2.12
1951-10-01,0.136,0.49,0.21,1.15,1.11,0.168,-0.168,-0.97,0.09,0.03,1.55,-0.213,-0.13,-4.59,0.59,1011.466,-2.63
1951-11-01,-0.243,0.55,-1.165,1.04,0.9,-0.167,0.123,-1.19,-0.03,-0.08,1.09,-0.069,-0.97,-3.65,0.48,1009.468,-3.36
1951-12-01,0.08,0.31,-0.464,0.81,0.79,-1.343,-0.073,-2.02,-0.07,0.0,0.01,1.987,2.54,-3.98,0.04,1013.85,-3.36
1952-01-01,-0.056,0.13,-1.444,0.53,0.64,-2.105,-0.069,-2.89,-0.41,0.06,-0.07,0.368,0.92,-6.8,-1.07,1010.376,-2.77
1952-02-01,-0.289,-0.01,2.156,0.37,0.5,-1.128,0.08,-1.44,-0.15,-0.01,-0.26,-1.747,0.15,-7.71,-1.46,1007.719,-1.18
1952-03-01,-0.769,-0.11,1.74,0.34,0.1,-1.362,0.126,0.92,-0.02,-0.08,-0.31,-1.859,-1.14,-6.99,0.16,1014.058,-1.59
1952-04-01,-0.252,-0.02,-1.652,0.29,0.72,-1.543,0.073,1.13,0.04,-0.08,0.35,0.539,2.79,-5.68,0.12,1013.688,-0.75
1952-05-01,-0.364,-0.14,0.535,0.2,-0.52,-1.358,-0.148,2.09,0.13,-0.19,0.24,-0.774,-0.94,-4.76,0.24,1015.81,0.57
1952-06-01,-0.386,-0.54,0.015,0.0,-0.8,-1.83,0.02,3.27,0.28,0.07,0.85,-0.441,0.02,-6.0,-0.4,1014.477,-0.4
